tweetid,userid,date,time,text,latitude,longitude,category,
947760027091329024,2898281555,2018-01-01,09:22:53,b'Spending New Years in Amsterdam watching kids chuck fireworks at each other from across dam square has been the highlight of my year',52.373269,4.892881,positive,
947787396787195904,287145003,2018-01-01,11:11:39,b'Na vannacht bij het vuurwerk moment nu aanwezig voor het preventieve toezicht bij de #nieuwjaarsduik op #ijburg',52.354575,4.999494,other,
947790201631293440,25428362,2018-01-01,11:22:47,b'Fireworks welcoming 2018 in #Amsterdam! #HappyNewYear2018 #happyholidays #Travel #Leisure https://t.co/VFlXJzSvgR',52.39999,4.89244,positive,
947806651553378304,215654877,2018-01-01,12:28:09,b'#Amstelveen: 23 aanhoudingen in aanloop naar oud & nieuw In #Amstelveen zijn in aanloop naar oud & nieuw 23 jongere https://t.co/s4dKRkAkmB',52.291594,4.854162,enforcement,
947818158303465472,19841692,2018-01-01,13:13:53,b'Nederland is al jaren Europees kampioen oogletsel als gevolg van het gebruik van vuurwerk',52.35278889,4.93064722,accident,
947825299726721026,478826897,2018-01-01,13:42:15,b'happy new year everyone #happynewyear #newyearseve #newyear #2018 #fireworks #streetfireworks https://t.co/xwe5C2tmzE',52.3731,4.8922,positive,
947836675346059265,861867855813464064,2018-01-01,14:27:28,b'Mooi vuurwerk van de @TheBulldogAMS te zien vanaf de Oudezijds Achterburgwal op de Wallen in Amsterdam. Iedereen de https://t.co/ThgEbkp4r1',52.372959,4.898185,positive,
947843120527536128,1137867492,2018-01-01,14:53:04,"b'New Years Eve #Amsterdam fireworks #queenvictoria #cunard #family @ Amsterdam,Netherlands https://t.co/geoOXRRM9F'",52.4731,4.8722,other,
947848576738131968,50443290,2018-01-01,15:14:45,b'End of the year #amsterdam style with @GiuliaVariara and @jaspererkens #fireworks #happy2018 https://t.co/yDruX4u4y3',52.3731,4.8922,positive,
947854958807859200,1166383453,2018-01-01,15:40:07,b' #nieuwjaarsduik Remon Bruinsma #GPSvenNys Sylvana Simons #GarmischPartenkirchen Happy New Year #Youp https://t.co/JuoegnDFhL',52.3531,4.8032,positive,
947859872959234049,814388574770655232,2018-01-01,15:59:38,De vuilnisman was wel blij met mijn opruimen van vuurwerkafval terwijl ik natuurlijk nooit iets af schiet https://t.co/ur2x8PM8E4',52.3733,4.8933,waste,
947883656131104769,1173290660,2018-01-01,17:34:09,b'Celebrating the new year Amsterdam style #my2018 #day1 #amsterdam #fireworks #newyearsday @ https://t.co/Qtg9fD4NoI',52.37251,4.87681,positive,
947884902497882114,202745725,2018-01-01,17:39:06,"b'Dam square at new year is the most on edge av been firework daft'",52.374264,4.892881,other,
947892137483554818,393062461,2018-01-01,18:07:51,b'#vuurwerk #amstelveen #waardhuizen #gelukkignieuwjaar\nhttps://t.co/mN6A69rwac',52.291592,4.854166,positive,
947896571722641409,15588419,2018-01-01,18:25:28,"b'@EKahmann Als Consumenten vuurwerk verboten is dan is het makkelijker om illegale vuurwerk op te sporen.'",52.3723041,4.87122304,general,
947899319553855489,3370838825,2018-01-01,18:36:23,"b'Merkwaardig hoe discussie vuurwerk ontaardt in discussie over wel/geen Amsterdammer,hutje op de hei en zwarte piet https://t.co/McshZ32nYX'",52.3731,4.8922,general,
947901967636029440,19033874,2018-01-01,18:46:54,"b'@Pretpark020 Vuurwerk is zo 2017 maar ben geen geboren Amsterdammer...Wel een huisje op het Westerpark. #intergreren'",52.38788,4.87523,other,
947913235805634560,335956865,2018-01-01,19:31:41,b'NYE in Amsterdam - just a night full of fireworks and jenever!# @ Capitale des Pays-Bas https://t.co/inlyaip9Js',52.373503,4.898014,other,
947952416837767168,244554686,2018-01-01,22:07:22,"b'Happy new year 2018 #Amsterdam #newyear #fireworks Amsterdam,Netherlands https://t.co/6n8R3hTKv2'",52.3801,4.9401,positive,
947978273585336320,2938520252,2018-01-01,23:50:07,b'Swipe left #longexposure #Fireworks #newyearseve #ansterdam #slowshutter #nightphotography https://t.co/LcA1pTf8D3',52.3783,4.9294,other,
948169270135009280,247245125,2018-01-02,12:29:04,"b'RT @Gem_Amstelveen: Op zaterdag 6 jan. organiseert B en S GezondAdvies van 10.00- 12.00 een nieuwjaars opruim wandeling. Restanten plastic,'",52.291597,4.854160,waste,
948171749266526208,3055132883,2018-01-02,12:38:55,b'WIE VOND HET EEN GOED IDEE ON VUURWERK AF TE STEKEN OP DE DAM.IK SCHRIK ME ROT GVD',52.37330,4.89270,general,
948252092732407813,18862888,2018-01-02,17:58:11,b'Doodziek van particulier vuurwerk. Van de schade. Van de gewonden. Van de bange mensen en dieren. Van de teringzooi https://t.co/fGFOhBUtOa',52.373012,4.891198,general,
